state,mean_total_duration_2024,mean_annularity_duration,min_total_duration_2024,min_annularity_duration,max_total_duration_2024,max_annularity_duration
AR,9436.164383561643,195.63835616438357,9370,7,9530,260
IL,9259.920634920634,196.3015873015873,9170,6,9330,250
IN,9156.399317406143,189.55119453924914,9040,8,9270,247
KY,9302.631578947368,105.44736842105263,9260,8,9340,187
ME,8347.142857142857,141.85714285714286,8270,18,8460,204
MI,8976.666666666666,39.333333333333336,8970,18,8980,60
MO,9333.988095238095,184.53571428571428,9280,3,9390,254
NH,8500,134.5,8490,46,8510,194
NY,8739.354838709678,182.16873449131515,8550,18,8880,227
OH,9023.203463203463,180.56709956709958,8900,2,9150,241
OK,9481.707317073171,149.26829268292684,9430,20,9510,261
PA,8904.507042253521,152.28169014084506,8870,10,8940,224
TX,9575.85448392555,194.746192893401,9500,2,9670,269
VT,8544.71264367816,161.29885057471265,8480,10,8580,215
