start_date,very_percentage,somewhat_percentage,not_very_percentage,not_at_all_percentage
2020-02-02,13,26,43,18
2020-02-07,12.5,27.27272727272727,37.5,22.727272727272727
2020-02-09,11,28.000000000000004,39,22
2020-02-13,21.782178217821784,22.772277227722775,36.633663366336634,18.81188118811881
2020-02-13,22.22222222222222,21.21212121212121,33.33333333333333,23.232323232323232
2020-02-16,10.1010101010101,28.28282828282828,42.42424242424242,19.19191919191919
2020-02-23,10,30,40,20
2020-02-26,17.77777777777778,34.44444444444444,30,17.77777777777778
2020-03-02,24.242424242424242,33.33333333333333,30.303030303030305,12.121212121212121
2020-03-01,14.000000000000002,33,35,18
2020-03-05,18.181818181818183,36.36363636363637,26.262626262626267,19.19191919191919
2020-03-06,28.000000000000004,28.999999999999996,28.000000000000004,15
2020-03-05,29.7029702970297,31.683168316831683,23.762376237623762,14.85148514851485
2020-03-08,14.000000000000002,35,35,16
2020-03-09,24,26,39,11
2020-03-11,26.262626262626267,40.4040404040404,26.262626262626267,7.07070707070707
2020-03-10,25,36.95652173913043,27.173913043478258,10.869565217391305
2020-03-12,18.367346938775512,35.714285714285715,28.57142857142857,17.346938775510203
2020-03-11,15,38,31,16
2020-03-12,27.659574468085108,31.914893617021278,24.46808510638298,15.957446808510639
2020-03-12,36.17021276595745,35.1063829787234,17.02127659574468,11.702127659574469
2020-03-13,46,25,23,6
2020-03-13,30.107526881720432,35.483870967741936,24.731182795698924,9.67741935483871
2020-03-11,27,36,21,16
2020-03-12,31.313131313131315,35.35353535353536,23.232323232323232,10.1010101010101
2020-03-13,11,33,36,20
2020-03-13,27,36,27,10
2020-03-15,15,41,33,11
2020-03-18,26.800000000000008,43.50000000000001,22.400000000000002,7.300000000000001
2020-03-18,34,45,16,5
2020-03-18,20.618556701030926,38.144329896907216,28.865979381443296,12.371134020618557
2020-03-20,41.66666666666667,33.33333333333333,18.75,6.25
2020-03-18,38,32,18,12
2020-03-21,30,41,20,9
2020-03-20,27.722772277227726,34.65346534653465,27.722772277227726,9.900990099009901
2020-03-20,42,36,15,7.000000000000001
2020-03-20,48.51485148514851,33.663366336633665,14.85148514851485,2.9702970297029703
2020-03-22,21.782178217821784,41.584158415841586,24.752475247524753,11.881188118811881
2020-03-21,38,32,21,9
2020-03-21,26,32,30,12
2020-03-21,42.42424242424242,35.35353535353536,16.161616161616163,6.0606060606060606
2020-03-22,30.303030303030305,39.39393939393939,20.2020202020202,10.1010101010101
2020-03-24,23.232323232323232,43.43434343434344,23.232323232323232,10.1010101010101
2020-03-22,28.28282828282828,32.323232323232325,28.28282828282828,11.11111111111111
2020-03-24,42,41,12,5
2020-03-22,43,36,15,6
2020-03-23,28.999999999999996,33,28.000000000000004,10
2020-03-23,44,36,13,7.000000000000001
2020-03-24,30.303030303030305,35.35353535353536,24.242424242424242,10.1010101010101
2020-03-24,44.554455445544555,35.64356435643564,12.871287128712872,6.9306930693069315
2020-03-26,36,43,16,5
2020-03-21,27.482447342026077,39.31795386158476,24.07221664994985,9.127382146439318
2020-03-26,50,34,13,3
2020-03-27,25.773195876288657,39.175257731958766,22.68041237113402,12.371134020618557
2020-03-27,30.927835051546392,39.175257731958766,18.556701030927837,11.34020618556701
2020-03-26,28.999999999999996,41,21,9
2020-03-25,30.107526881720432,25.806451612903224,18.27956989247312,25.806451612903224
2020-03-28,19.387755102040817,41.83673469387755,27.55102040816326,11.224489795918368
2020-03-25,30.693069306930692,32.67326732673268,25.742574257425744,10.891089108910892
2020-03-25,46,34,13,7.000000000000001
2020-03-27,38.775510204081634,41.83673469387755,13.26530612244898,6.122448979591836
2020-03-29,24.242424242424242,41.41414141414141,26.262626262626267,8.080808080808081
2020-03-26,30,30,28.000000000000004,12
2020-03-26,44,34,15,7.000000000000001
2020-03-31,32,43,17,8
2020-03-27,32,30,27,11
2020-03-27,47,34,13,6
2020-04-01,50,39,9,2
2020-03-30,33.33333333333333,33.33333333333333,24.242424242424242,9.090909090909092
2020-03-30,49,34,12,5
2020-03-31,32,38,22,8
2020-03-31,48,36,11,5
2020-04-03,47.42268041237113,34.02061855670103,13.402061855670103,5.154639175257731
2020-03-28,32.49243188698285,44.399596367305755,16.952573158425835,6.15539858728557
2020-04-03,47,36,13,4
2020-04-03,27.835051546391753,38.144329896907216,20.618556701030926,13.402061855670103
2020-04-03,31.958762886597935,39.175257731958766,15.463917525773196,13.402061855670103
2020-04-02,50,35,10,5
2020-04-01,31,37,24,8
2020-04-01,49.494949494949495,34.34343434343434,12.121212121212121,4.040404040404041
2020-04-03,44.329896907216494,36.08247422680412,12.371134020618557,7.216494845360824
2020-04-05,27,42,23,8
2020-04-04,39,37,18,6
2020-04-02,33,36,22,9
2020-04-03,50.505050505050505,33.33333333333333,9.090909090909092,7.07070707070707
2020-04-02,49,33,13,5
2020-04-03,34,35,23,8
2020-04-03,49,33,13,5
2020-04-08,43,43,11,3
2020-04-07,35,42,16,7.000000000000001
2020-04-05,34.65346534653465,34.65346534653465,21.782178217821784,8.91089108910891
2020-04-05,48,36,11,5
2020-04-04,29.789368104312935,44.53360080240722,19.759277833500498,5.917753259779338
2020-04-07,35,32,23,10
2020-04-09,31.46067415730337,37.07865168539326,19.101123595505616,12.359550561797752
2020-04-07,47,36,11,6
2020-04-08,34.34343434343434,40.4040404040404,19.19191919191919,6.0606060606060606
2020-04-10,36.45833333333333,40.625,14.583333333333334,8.333333333333332
2020-04-10,12,45,33,10
2020-04-09,28.57142857142857,39.795918367346935,19.387755102040817,12.244897959183673
2020-04-06,12,45,33,10
2020-04-09,32.323232323232325,40.4040404040404,17.17171717171717,10.1010101010101
2020-04-08,26,48,21,5
2020-04-08,33,32,23,12
2020-04-08,47,34,12,7.000000000000001
2020-04-10,38.38383838383838,35.35353535353536,21.21212121212121,5.05050505050505
2020-04-07,31.52610441767068,40.963855421686745,21.987951807228914,5.522088353413655
2020-04-14,35.75357535753575,38.67386738673867,17.251725172517247,8.320832083208321
2020-04-12,23,45,23,9
2020-04-11,16.161616161616163,39.39393939393939,29.292929292929294,15.151515151515152
2020-04-09,31,32,25,12
2020-04-09,45.54455445544555,33.663366336633665,13.861386138613863,6.9306930693069315
2020-04-13,33.6734693877551,40.816326530612244,18.367346938775512,7.142857142857142
2020-04-10,32,32,26,10
2020-04-10,46,33,15,6
2020-04-15,40.5940594059406,39.603960396039604,14.85148514851485,4.9504950495049505
2020-04-13,28.999999999999996,32,28.999999999999996,10
2020-04-13,42.42424242424242,35.35353535353536,17.17171717171717,5.05050505050505
2020-04-14,28.71287128712871,32.67326732673268,28.71287128712871,9.900990099009901
2020-04-14,40.4040404040404,38.38383838383838,16.161616161616163,5.05050505050505
2020-04-11,32.59557344064387,38.028169014084504,21.126760563380284,8.249496981891348
2020-04-17,37.5,37.5,16.666666666666664,8.333333333333332
2020-04-17,27.835051546391753,38.144329896907216,20.618556701030926,13.402061855670103
2020-04-14,20,37,27,16
2020-04-13,12,42,34,12
